bc/entropy,batch_size,rollout/success_std,bc/prob_true_act,bc/ent_loss,dagger/mean_episode_reward,rollout/success_min,rollout/return_min,bc/batch_num,dagger/round_episode_count,dagger/round_timestep_count,rollout/success_mean,dagger/total_timesteps,bc/loss,rollout/success_max,rollout/return_max,dagger/mean_episode_success,bc/samples_so_far,bc/epoch_num,bc/l2_loss,rollout/return_mean,bc/neglogp,dagger/total_expert_count,rollout/return_std,bc/l2_norm,dagger/round_num
7.094692230224609,128,0.0,0.002678333083167672,-0.007094692438840866,6963.110700334822,0.0,-10000.0,1,7,135,0.0,135,5.960892200469971,0.0,-10000.0,1.0,128,0,0.0,-10000.0,5.967987060546875,135,0.0,24674.05859375,0
7.05459451675415,128,0.0,0.0034474791027605534,-0.007054594811052084,7861.628851996528,0.0,-10000.0,1,9,134,0.0,269,5.716207981109619,0.0,-8797.538787841797,1.0,128,0,0.0,-9934.882154464722,5.723262786865234,262,261.8287074778197,24696.306640625,1
6.970754623413086,128,0.0,0.006554891355335712,-0.006970754824578762,7227.810965401786,0.0,-10000.0,1,7,130,0.0,399,5.32318115234375,0.0,-9123.65047454834,1.0,128,0,0.0,-9862.264592361451,5.3301520347595215,376,281.7300447507421,24753.625,2
6.844927787780762,128,0.0,0.006919656880199909,-0.0068449280224740505,7256.460658482143,0.0,-10000.0,1,7,133,0.0,532,5.130038738250732,0.0,-8358.640113830566,1.0,128,0,0.0,-9745.29592819214,5.136883735656738,482,439.5206265083566,24835.634765625,3
6.676810264587402,128,0.0,0.009005994535982609,-0.006676810793578625,4528.165852864583,0.0,-10000.0,1,6,142,0.0,674,4.96151876449585,0.0,-9022.975914001465,0.8333333333333334,128,0,0.0,-9812.280750274658,4.96819543838501,587,343.58433492421256,24913.33203125,4
6.479398727416992,128,0.21794494717703364,0.010498758405447006,-0.006479398813098669,7500.4993896484375,0.0,-10000.0,1,8,136,0.05,810,4.816495418548584,1.0,1918.2856521606445,1.0,128,0,0.0,-9142.142947006225,4.822974681854248,680,2577.0515904661424,25023.302734375,5
6.257915019989014,128,0.21794494717703364,0.010582571849226952,-0.006257915403693914,-5177.34912109375,0.0,-10000.0,1,3,148,0.05,958,5.001952171325684,1.0,4785.601913452148,0.3333333333333333,128,0,0.0,-9007.020650863647,5.008210182189941,756,3185.9560317613054,25204.7890625,6
6.018984794616699,128,0.30000000000000004,0.012803982943296432,-0.006018985062837601,4046.2064453125004,0.0,-10000.0,1,5,129,0.1,1087,4.770064353942871,1.0,6082.581817626953,0.8,128,0,0.0,-8211.042577362061,4.776083469390869,823,4282.471911573647,25354.103515625,7
5.775611400604248,128,0.0,0.011155570857226849,-0.005775611847639084,5086.28369140625,0.0,-10000.0,1,5,149,0.0,1236,4.912671089172363,0.0,-8779.990776062012,1.0,128,0,0.0,-9734.253269577026,4.9184465408325195,896,353.8397856671738,25571.41796875,8
5.587146759033203,128,0.0,0.010347428731620312,-0.005587147083133459,-861.2001953124999,0.0,-10000.0,1,3,133,0.0,1369,5.002269268035889,0.0,-9385.915710449219,0.6666666666666666,128,0,0.0,-9878.23885192871,5.007856369018555,949,189.5129376734706,26023.197265625,9
5.463422775268555,128,0.0,0.009347202256321907,-0.005463423207402229,-8998.294921875,0.0,-10000.0,1,3,150,0.0,1519,5.209934234619141,0.0,-9250.025611877441,0.0,128,0,0.0,-9779.670831680298,5.215397834777832,991,277.25239715781044,26163.12109375,10
5.320302963256836,128,0.0,0.01584671251475811,-0.00532030314207077,-8931.250325520832,0.0,-10000.0,1,3,150,0.0,1669,4.659178256988525,0.0,-7676.569435119629,0.0,128,0,0.0,-9637.250812911987,4.664498329162598,1026,559.7950364551068,26307.109375,11
5.180118560791016,128,0.0,0.010747138410806656,-0.005180118605494499,-5279.347330729167,0.0,-10000.0,1,3,147,0.0,1816,5.162143230438232,0.0,-8189.430732727051,0.3333333333333333,128,0,0.0,-9624.539318466186,5.167323112487793,1066,524.254599219786,26500.42578125,12
5.144479751586914,128,0.0,0.013469193130731583,-0.005144480150192976,-9045.020833333334,0.0,-10000.0,1,3,150,0.0,1966,4.964818477630615,0.0,-8055.189758300781,0.0,128,0,0.0,-9670.006668853759,4.969963073730469,1090,535.2375240101609,26756.01171875,13
5.11973762512207,128,0.0,0.009740494191646576,-0.005119737703353167,-9126.399739583334,0.0,-10000.0,1,3,150,0.0,2116,5.517845153808594,0.0,-7677.807807922363,0.0,128,0,0.0,-9439.544258499145,5.522964954376221,1097,667.3016633768699,27212.80859375,14
5.2556939125061035,128,0.0,0.004937903955578804,-0.005255694035440683,-9900.643880208334,0.0,-10000.0,1,3,150,0.0,2266,5.816843509674072,0.0,-10000.0,0.0,128,0,0.0,-10000.0,5.822099208831787,1097,0.0,27359.939453125,15
5.223540306091309,128,0.0,0.006857586093246937,-0.005223540589213371,-10000.0,0.0,-10000.0,1,3,150,0.0,2416,5.514560699462891,0.0,-8591.152351379395,0.0,128,0,0.0,-9828.65715675354,5.519784450531006,1097,357.69560591204936,27585.88671875,16
5.33449649810791,128,0.0,0.006505662575364113,-0.0053344969637691975,-10000.0,0.0,-10000.0,1,3,150,0.0,2566,5.457001209259033,0.0,-8904.325408935547,0.0,128,0,0.0,-9758.759646606446,5.462335586547852,1097,350.93615435632984,27909.458984375,17
5.223071575164795,128,0.0,0.010967090725898743,-0.005223071668297052,-10000.0,0.0,-10000.0,1,3,150,0.0,2716,5.059075832366943,0.0,-8356.379768371582,0.0,128,0,0.0,-9726.901942825318,5.0642991065979,1097,431.68039688336324,28161.169921875,18
