,train_n_traj,train_return_min,train_return_mean,train_return_std,train_return_max,train_len_min,train_len_mean,train_len_std,train_len_max,train_success_min,train_success_mean,train_success_std,train_success_max,test_n_traj,test_return_min,test_return_mean,test_return_std,test_return_max,test_len_min,test_len_mean,test_len_std,test_len_max,test_success_min,test_success_mean,test_success_std,test_success_max,num_expert_demos
0,50,-7.809105452150106,-3.461044048294425,4.677504006938926,2.584214687347412,1,91.18,64.7832354857335,150,0.0,0.46,0.49839743177508455,1.0,50,-0.3916122489608824,-0.39105391954537483,0.0003290116231541795,-0.3904950909782201,150,150.0,0.0,150,0.0,0.0,0.0,0.0,50
1,50,-7.809044670313597,-1.4988722687214613,4.32783533961485,2.52072131074965,3,65.46,61.35738260388883,150,0.0,0.7,0.45825756949558405,1.0,50,-0.39160449989140034,-0.3883908982202411,0.01866726176358548,-0.2577392316889018,101,149.02,6.859999999999999,150,0.0,0.02,0.13999999999999999,1.0,150
2,50,-7.809151444584131,1.3157550710439683,2.432226681320003,2.5230500008910894,3,23.9,35.41256839033283,150,0.0,0.94,0.23748684174075838,1.0,50,-0.3913181896787137,-0.2920357230491936,0.1186169670316937,-0.049556856509298086,21,113.1,44.72728473761849,150,0.0,0.52,0.49959983987187184,1.0,250
3,50,-7.809711158275604,1.4980202988907694,2.0120128946607214,2.603342294692993,1,21.38,29.589112862672984,150,0.0,0.96,0.19595917942265426,1.0,50,-0.3913756567053497,-0.30988145971670744,0.11362283256995516,-0.0781901206355542,32,119.7,42.746344872983,150,0.0,0.4,0.4898979485566356,1.0,350
4,50,-7.809155445545912,1.6905117876455187,1.9998087501599464,2.6032135486602783,1,17.3,28.794617552591316,150,0.0,0.96,0.19595917942265428,1.0,50,-0.3912009666673839,-0.24967378114815802,0.15205544866995538,-0.03910916321910918,17,96.82,57.42706330642374,150,0.0,0.5,0.5,1.0,450
5,50,-7.755253056064248,1.9385798564180732,1.4720292607755026,2.603286027908325,1,13.48,21.795632590039684,150,0.0,0.98,0.13999999999999999,1.0,50,-0.3911516552325338,-0.23449527913704515,0.14103185340038174,-0.04690923960879445,20,91.16,53.20163907249475,150,0.0,0.58,0.4935585071701226,1.0,550
6,50,-7.8087835013866425,1.8843692099303007,1.5863565946856673,2.6032180786132812,1,14.56,24.597690948542304,150,0.0,0.98,0.13999999999999999,1.0,50,-0.3436698983423412,-0.1008869835268706,0.06891817010238808,-0.031250995583832264,14,40.74,26.468706050730926,134,1.0,1.0,0.0,1.0,650
7,50,-1.067396266385913,2.12045988149941,0.6522551769026073,2.6032228469848633,1,11.04,12.696393188618568,72,1.0,1.0,0.0,1.0,50,-0.39081361214630306,-0.12621171250008045,0.0884568495893106,-0.03126002196222544,14,50.38,33.72411006980021,150,0.0,0.96,0.19595917942265428,1.0,750
8,50,-1.3797324858605862,2.252047872543335,0.5464398217323709,2.5248684361577034,3,8.46,10.583402099514124,78,1.0,1.0,0.0,1.0,50,-0.3907705331221223,-0.11646718142088502,0.12455982084083042,-0.028650514548644423,13,46.4,47.126213512226926,150,0.0,0.84,0.3666060555964672,1.0,850
9,50,-7.809021752327681,2.1163845570757984,1.4296294181037352,2.603208541870117,1,10.02,20.362210096156065,150,0.0,0.98,0.13999999999999999,1.0,50,-0.39083094941452146,-0.13053740642033518,0.12655466506890217,-0.03125313180498779,14,51.76,47.85041692608331,150,0.0,0.82,0.3841874542459709,1.0,950
