bc/epoch_num,dagger/round_timestep_count,rollout/return_mean,rollout/return_max,dagger/total_timesteps,dagger/round_episode_count,rollout/success_min,dagger/mean_episode_reward,dagger/total_expert_count,bc/entropy,rollout/return_std,bc/ent_loss,bc/samples_so_far,rollout/success_max,dagger/round_num,bc/loss,bc/neglogp,bc/batch_num,rollout/success_std,bc/l2_norm,dagger/mean_episode_success,bc/prob_true_act,rollout/return_min,rollout/success_mean,batch_size,bc/l2_loss
0,109,-10000.0,-10000.0,109,9,0.0,8369.773166232639,109,7.094692230224609,0.0,-0.007094692438840866,32,0.0,0,5.987634658813477,5.994729518890381,1,0.0,928.500244140625,1.0,0.0026315744034945965,-10000.0,0.0,32,0.0
0,150,38.337493896484375,6890.3516845703125,259,3,0.0,-8830.640299479166,109,5.148256778717041,7941.274971541226,-0.005148257128894329,32,1.0,1,3.142997980117798,3.148146152496338,1,0.48989794855663565,1076.3564453125,0.0,0.05390501022338867,-9692.495292663574,0.6,32,0.0
2,,7349.847657775879,7979.036407470703,,,1.0,,,2.788804292678833,389.6336273784442,-0.0027888044714927673,16032,1.0,,1.1294852495193481,1.1322740316390991,501,0.0,1361.73095703125,,0.5013048052787781,6887.939834594727,1.0,32,0.0
0,118,7874.107095336914,8499.28923034668,377,6,1.0,7030.839518229167,109,1.5803920030593872,773.9408371703394,-0.0015803921269252896,32,1.0,2,1.0918501615524292,1.093430519104004,1,0.0,1528.580078125,1.0,1.4746668338775635,6406.37858581543,1.0,32,0.0
1,,8062.179244995117,8381.595108032227,,,1.0,,,0.09599900245666504,159.71933703024814,-9.599900658940896e-05,16032,1.0,,-0.7958367466926575,-0.7957407236099243,501,0.0,1878.169189453125,,6.264819145202637,7979.199028015137,1.0,32,0.0
3,,7844.087107849121,8374.782516479492,,,1.0,,,-1.1158065795898438,429.8980503873759,0.001115806633606553,32032,1.0,,-2.880878210067749,-2.8819940090179443,1001,0.0,2211.6455078125,,21.310728073120117,7291.700042724609,1.0,32,0.0
0,111,8108.230078125,8392.354270935059,488,8,1.0,8025.8717041015625,109,-1.469836950302124,468.5637962764077,0.0014698370359838009,32,1.0,3,-2.5971691608428955,-2.5986390113830566,1,0.0,2289.759521484375,1.0,24.94302749633789,7184.140563964844,1.0,32,0.0
1,,7673.80757598877,8588.748458862305,,,1.0,,,-1.5092731714248657,896.4359932321211,0.0015092731919139624,16032,1.0,,-2.409421920776367,-2.41093111038208,501,0.0,2564.45947265625,,26.686845779418945,6378.741241455078,1.0,32,0.0
2,,8112.04401550293,8594.761451721191,,,1.0,,,-2.232172966003418,491.79546893224426,0.00223217299208045,32032,1.0,,-3.652730941772461,-3.6549630165100098,1001,0.0,2792.087158203125,,60.343238830566406,7211.576438903809,1.0,32,0.0
3,,7937.651791381836,8593.067749023438,,,1.0,,,-3.2494466304779053,1016.3695078676441,0.0032494468614459038,48032,1.0,,-4.426607131958008,-4.429856777191162,1501,0.0,2939.166259765625,,167.04766845703125,5927.805358886719,1.0,32,0.0
0,103,8105.615211486816,8394.094329833984,591,7,1.0,7920.484654017857,109,-3.2690603733062744,275.5061974513224,0.0032690605148673058,32,1.0,4,-0.31939783692359924,-0.32266688346862793,1,0.0,2942.78857421875,1.0,119.6827621459961,7578.948059082031,1.0,32,0.0
1,,8182.903636169433,8579.225662231445,,,1.0,,,-1.83097243309021,284.8874917409488,0.0018309724982827902,16032,1.0,,-2.755960464477539,-2.757791519165039,501,0.0,3262.20263671875,,35.56175994873047,7774.865570068359,1.0,32,0.0
2,,8186.399183654785,8389.997566223145,,,1.0,,,-2.3489155769348145,127.29782027350943,0.002348915673792362,32032,1.0,,-3.2121565341949463,-3.214505434036255,1001,0.0,3400.063720703125,,62.48258972167969,7987.644859313965,1.0,32,0.0
3,,8308.97427520752,8390.751487731934,,,1.0,,,-3.0107264518737793,98.58941732787105,0.003010726533830166,48032,1.0,,-4.2970051765441895,-4.300015926361084,1501,0.0,3535.2177734375,,127.87622833251953,8185.111549377441,1.0,32,0.0
0,104,8265.577989196778,8587.96524810791,695,6,1.0,7406.460611979167,109,-3.3398401737213135,161.26379447774502,0.003339840332046151,32,1.0,5,1.4006497859954834,1.3973098993301392,1,0.0,3639.640380859375,1.0,101.63211059570312,8176.847755432129,1.0,32,0.0
0,,7462.511120605469,8382.420196533203,,,1.0,,,-2.045464038848877,1537.6096766135604,0.0020454642362892628,16032,1.0,,-1.635406732559204,-1.637452244758606,501,0.0,3923.363037109375,,40.114723205566406,4391.341461181641,1.0,32,0.0
1,,6594.655101013183,8187.621353149414,,,1.0,,,-2.59690260887146,2086.882379291898,0.002596902661025524,32032,1.0,,-2.3972346782684326,-2.399831533432007,1001,0.0,4026.005126953125,,73.94017028808594,2706.4778366088867,1.0,32,0.0
2,,8307.682083129883,8591.556579589844,,,1.0,,,-3.0787787437438965,274.5967873935702,0.00307877897284925,48032,1.0,,-3.5843653678894043,-3.5874440670013428,1501,0.0,4142.63232421875,,105.02261352539062,7978.983062744141,1.0,32,0.0
3,,7911.611405944825,8588.397369384766,,,1.0,,,-3.386470317840576,609.0027282657832,0.00338647048920393,64032,1.0,,-3.3973350524902344,-3.400721549987793,2001,0.0,4308.52099609375,,129.6199951171875,6803.742317199707,1.0,32,0.0
0,121,8309.705108642578,8593.394439697266,816,8,1.0,7891.256286621094,109,-3.586552381515503,205.76627161099947,0.003586552571505308,32,1.0,6,-3.2625668048858643,-3.266153335571289,1,0.0,4382.529296875,1.0,180.33644104003906,7987.152793884277,1.0,32,0.0
