rollout/return_min,rollout/success_mean,rollout/return_max,bc/ent_loss,bc/prob_true_act,rollout/success_std,bc/l2_norm,bc/l2_loss,bc/batch_num,rollout/return_std,bc/loss,dagger/total_timesteps,batch_size,bc/neglogp,dagger/mean_episode_success,rollout/success_max,bc/entropy,bc/samples_so_far,dagger/round_episode_count,dagger/round_timestep_count,rollout/return_mean,dagger/round_num,dagger/total_expert_count,dagger/mean_episode_reward,bc/epoch_num,rollout/success_min
-10000.0,0.0,-9900.086524963379,-0.007094692438840866,0.002807134762406349,0.0,928.500244140625,0.0,1,21.775637039130253,5.920116901397705,128,128,5.927211761474609,1.0,0.0,7.094692230224609,128,10,128,-9995.004326248169,0,128,8253.939697265627,0,0.0
-10000.0,0.0,-10000.0,-0.007054836954921484,0.004865718074142933,0.0,933.1927490234375,0.0,1,0.0,5.379105091094971,267,128,5.386159896850586,1.0,0.0,7.054836750030518,128,8,139,-10000.0,1,253,7481.654235839844,0,0.0
-10000.0,0.0,-8038.055992126465,-0.006971519440412521,0.008003804832696915,0.0,942.4293212890625,0.0,1,557.3897642777421,5.032697677612305,401,128,5.039669036865234,1.0,0.0,6.9715189933776855,128,10,134,-9726.358433151245,2,373,8116.895947265625,0,0.0
-10000.0,0.0,-8337.568801879883,-0.006842713337391615,0.00961234699934721,0.0,954.281005859375,0.0,1,443.9995288687334,4.741644859313965,533,128,4.74848747253418,1.0,0.0,6.842712879180908,128,8,132,-9723.974172592163,3,477,7539.26318359375,0,0.0
-10000.0,0.05,6486.3123779296875,-0.006670682225376368,0.012191562913358212,0.21794494717703364,972.31787109375,0.0,1,3522.0394687649423,4.505542278289795,666,128,4.512212753295898,1.0,1.0,6.670681953430176,128,6,133,-8514.517322540283,4,573,6697.493001302084,0,0.0
