dagger/round_timestep_count,dagger/round_episode_count,rollout/return_std,dagger/total_timesteps,bc/ent_loss,bc/entropy,bc/neglogp,bc/l2_loss,dagger/mean_episode_success,bc/samples_so_far,bc/l2_norm,rollout/success_mean,batch_size,bc/loss,dagger/round_num,bc/prob_true_act,rollout/return_mean,rollout/success_std,dagger/mean_episode_reward,rollout/success_min,dagger/total_expert_count,rollout/return_max,rollout/return_min,bc/batch_num,rollout/success_max,bc/epoch_num
160,9,21.360445529652132,160,-0.007094692438840866,7.094692230224609,6.124156951904297,0.0,0.8888888888888888,128,928.500244140625,0.0,128,6.117062091827393,0,0.002336950972676277,-9995.099577713012,0.0,6037.195963541666,0.0,160,-9901.991554260254,-10000.0,1,0.0,0
135,8,45.33044891159402,295,-0.007064628880470991,7.064628601074219,5.496980667114258,0.0,1.0,128,931.944580078125,0.0,128,5.48991584777832,1,0.004870126955211163,-9989.600481796264,0.0,7689.217437744141,0.0,246,-9792.009635925293,-10000.0,1,0.0,0
