bc/prob_true_act,bc/epoch_num,dagger/round_episode_count,dagger/mean_episode_reward,bc/samples_so_far,bc/l2_loss,bc/neglogp,dagger/mean_episode_success,dagger/total_expert_count,dagger/total_timesteps,rollout/return_std,dagger/round_num,rollout/success_max,bc/ent_loss,rollout/success_mean,rollout/success_std,rollout/success_min,bc/l2_norm,bc/loss,batch_size,bc/batch_num,rollout/return_mean,dagger/round_timestep_count,bc/entropy,rollout/return_max,rollout/return_min
0.0027055335231125355,0,10,8052.9209960937515,128,0.0,5.970950126647949,1.0,137,137,0.0,0,0.0,-0.007094692438840866,0.0,0.0,0.0,928.500244140625,5.963855266571045,128,1,-10000.0,137,7.094692230224609,-10000.0,-10000.0
0.007122518494725227,0,11,8261.603693181818,128,0.0,5.085733413696289,1.0,276,276,423.76956258546437,1,0.0,-0.007013590540736914,0.0,0.0,0.0,937.5068969726562,5.078719615936279,128,1,-9695.341199493409,139,7.013590335845947,-8423.194435119629,-10000.0
0.009241138584911823,0,9,7924.684516059028,128,0.0,4.783729553222656,1.0,402,405,402.7907464953172,2,0.0,-0.0068844035267829895,0.0,0.0,0.0,948.8575439453125,4.7768449783325195,128,1,-9760.02377166748,129,6.884403228759766,-8308.273422241211,-10000.0
0.011559473350644112,0,10,8072.072119140626,128,0.0,4.538315296173096,1.0,532,542,2738.940381107189,3,1.0,-0.006711697671562433,0.05,0.21794494717703364,0.0,961.9586791992188,4.531603813171387,128,1,-9019.20425605774,137,6.711697578430176,2725.2774047851562,-10000.0
0.015518367290496826,0,8,7594.407958984375,128,0.0,4.206429481506348,1.0,656,674,5953.1746926957885,4,1.0,-0.006495611276477575,0.3,0.45825756949558394,0.0,979.2509765625,4.199934005737305,128,1,-5728.926142883301,132,6.495611190795898,6281.674530029297,-10000.0
0.021728500723838806,0,10,8183.404101562499,128,0.0,3.8417537212371826,1.0,775,805,5929.744490890301,5,1.0,-0.006238121073693037,0.2,0.4000000000000001,0.0,1005.1484375,3.8355154991149902,128,1,-6549.662344360351,131,6.2381205558776855,6695.4392013549805,-10000.0
0.030374985188245773,0,9,7967.913628472222,128,0.0,3.5343451499938965,1.0,892,937,7211.26319219875,6,1.0,-0.005936996079981327,0.45,0.49749371855331,0.0,1030.366943359375,3.5284080505371094,128,1,-2464.3629978179933,132,5.936995983123779,8072.14542388916,-10000.0
0.04198381304740906,0,10,8171.428662109375,128,0.0,3.309154510498047,1.0,1012,1070,7197.169413325209,7,1.0,-0.00559669453650713,0.4,0.48989794855663565,0.0,1054.82373046875,3.303557872772217,128,1,-3370.589037704468,133,5.596694469451904,7794.883270263672,-10000.0
0.06228679046034813,0,8,7647.161926269531,128,0.0,2.8113808631896973,1.0,1125,1201,7419.155307476873,8,1.0,-0.005221032537519932,0.5,0.5,0.0,1090.83984375,2.806159734725952,128,1,-2043.8925689697267,131,5.22103214263916,6893.410041809082,-10000.0
0.09451031684875488,0,10,7991.17578125,128,0.0,2.3828234672546387,1.0,1248,1344,7111.830162460732,9,1.0,-0.0048080552369356155,0.75,0.4330127018922193,0.0,1131.9866943359375,2.3780155181884766,128,1,2734.3746288299562,143,4.8080549240112305,8295.099472045898,-10000.0
0.15374627709388733,0,10,8031.5841796875,128,0.0,1.92001473903656,1.0,1367,1484,6528.585203719243,10,1.0,-0.004331720992922783,0.8,0.4,0.0,1158.7828369140625,1.9156830310821533,128,1,3553.9782894134523,140,4.33172082901001,8375.900375366211,-10000.0
0.2488095611333847,0,9,7738.664930555556,128,0.0,1.4954708814620972,1.0,1487,1626,1528.751701239456,11,1.0,-0.0038160968106240034,1.0,0.0,1.0,1184.9132080078125,1.4916547536849976,128,1,6096.217844772339,142,3.816096544265747,8184.602569580078,2407.0343475341797
0.41928043961524963,0,7,5609.628208705357,128,0.0,1.052398443222046,0.8571428571428572,1591,1755,1132.8644271771245,12,1.0,-0.003284172620624304,1.0,0.0,1.0,1295.3968505859375,1.0491142272949219,128,1,7274.859879302979,129,3.284172534942627,8386.171249389648,4410.222923278809
0.794574499130249,0,10,8190.3828125,128,0.0,0.23346875607967377,1.0,1704,1886,5085.089190009884,13,1.0,-0.0026948503218591213,0.9,0.30000000000000004,0.0,1330.611328125,0.2307739108800888,128,1,5121.469976425171,131,2.694850206375122,8379.884574890137,-9683.602890014648
1.4074225425720215,0,10,8217.861865234376,128,0.0,-0.11203863471746445,1.0,1805,2015,5085.425729856335,14,1.0,-0.002082477556541562,0.9,0.30000000000000004,0.0,1419.22705078125,-0.11412110924720764,128,1,5673.208509063721,129,2.082477569580078,8390.451477050781,-9783.88404083252
