rollout/return_max,rollout/success_max,dagger/round_episode_count,dagger/total_timesteps,rollout/return_min,dagger/mean_episode_success,dagger/round_timestep_count,dagger/total_expert_count,rollout/success_mean,rollout/return_mean,batch_size,bc/prob_true_act,rollout/success_min,bc/ent_loss,bc/l2_norm,bc/samples_so_far,rollout/return_std,bc/batch_num,bc/l2_loss,bc/neglogp,dagger/round_num,dagger/mean_episode_reward,rollout/success_std,bc/entropy,bc/epoch_num,bc/loss
-10000.0,0.0,8,130,-10000.0,1.0,130,130,0.0,-10000.0,128,0.002633840311318636,0.0,-0.007094692438840866,928.500244140625,128,0.0,1,0.0,5.990047931671143,0,7636.884216308594,0.0,7.094692230224609,0,5.982953071594238
-9800.950942993164,0.0,11,264,-10000.0,1.0,134,264,0.0,-9990.047547149657,128,0.0033237640745937824,0.0,-0.007074710913002491,930.660888671875,128,43.38173621499322,1,0.0,5.751945972442627,1,8343.4619140625,0.0,7.074710369110107,0,5.744871139526367
-9609.783149719238,0.0,9,399,-10000.0,1.0,135,350,0.0,-9975.552778244019,128,0.006650606170296669,0.0,-0.0070342812687158585,935.8018188476562,128,86.62072304576759,1,0.0,5.138882637023926,2,7891.084526909723,0.0,7.034280776977539,0,5.131848335266113
2447.8702697753906,1.0,10,537,-10000.0,1.0,138,423,0.05,-9247.902167510987,128,0.008517783135175705,0.0,-0.006970535963773727,942.2041625976562,128,2700.1591243746975,1,0.0,4.93942403793335,3,8063.5400390625,0.21794494717703364,6.970535755157471,0,4.932453632354736
6204.0961837768555,1.0,9,671,-10000.0,1.0,134,490,0.05,-8845.911743927001,128,0.009776629507541656,0.0,-0.006883820053189993,949.1026000976562,128,3487.8170692694434,1,0.0,4.7483930587768555,4,7849.074490017361,0.21794494717703364,6.883819580078125,0,4.741509437561035
7298.03865814209,1.0,9,805,-10000.0,1.0,134,587,0.05,-8787.788356781006,128,0.010940264910459518,0.0,-0.006776167545467615,957.3478393554688,128,3726.659788044892,1,0.0,4.591761589050293,5,7877.5615234375,0.21794494717703364,6.776167392730713,0,4.584985256195068
7578.0201416015625,1.0,8,936,-10000.0,1.0,131,635,0.05,-8994.830569458009,128,0.01322002150118351,0.0,-0.0066480799578130245,968.017822265625,128,3810.1320202405072,1,0.0,4.384108543395996,6,7584.578857421875,0.21794494717703367,6.648079872131348,0,4.377460479736328
6887.714111328125,1.0,9,1073,-10000.0,1.0,137,721,0.25,-6351.867717361451,128,0.015471233054995537,0.0,-0.006499553564935923,981.7443237304688,128,6015.196312219232,1,0.0,4.228965759277344,7,7794.014051649306,0.4330127018922193,6.499553203582764,0,4.222465991973877
6185.600807189941,1.0,8,1201,-10000.0,1.0,128,766,0.05,-8898.141412353516,128,0.018937479704618454,0.0,-0.00633046543225646,997.7687377929688,128,3484.1807934778376,1,0.0,4.011994361877441,8,7715.00537109375,0.21794494717703364,6.330465316772461,0,4.005663871765137
6590.588912963867,1.0,8,1344,-10000.0,1.0,143,827,0.35,-4603.282752990723,128,0.02343205362558365,0.0,-0.00613827770575881,1015.6932373046875,128,6630.737139105638,1,0.0,3.8596959114074707,9,7339.218322753906,0.4769696007084728,6.138277530670166,0,3.853557586669922
