rollout/success_std,bc/epoch_num,bc/batch_num,dagger/round_num,rollout/success_min,batch_size,bc/ent_loss,dagger/mean_episode_reward,bc/entropy,bc/l2_loss,rollout/return_min,bc/loss,rollout/success_max,bc/l2_norm,dagger/total_expert_count,dagger/total_timesteps,bc/neglogp,bc/prob_true_act,dagger/round_episode_count,rollout/return_mean,dagger/mean_episode_success,rollout/return_std,dagger/round_timestep_count,rollout/success_mean,bc/samples_so_far,rollout/return_max
0.0,0,1,0,0.0,128,-0.007094692438840866,8145.61533203125,7.094692230224609,0.0,-10000.0,5.926522731781006,0.0,928.500244140625,135,135,5.93361759185791,0.002797350287437439,10,-9955.304543685914,1.0,110.83793666771555,135,0.0,128,-9604.165397644043
0.0,0,1,1,0.0,128,-0.007064745295792818,5349.756208147321,7.06474494934082,0.0,-10000.0,5.646496772766113,0.0,931.6432495117188,268,274,5.653561592102051,0.0038421282079070807,7,-10000.0,0.8571428571428571,0.0,139,0.0,128,-10000.0
0.21794494717703364,0,1,2,0.0,128,-0.007003116887062788,8062.590673828126,7.003116607666016,0.0,-10000.0,5.040249824523926,1.0,938.9743041992188,365,414,5.047253131866455,0.007442746311426163,10,-8991.891649246216,1.0,3472.3241908101404,140,0.05,128,5996.082962036133
0.21794494717703364,0,1,3,0.0,128,-0.006905655842274427,6563.794840494791,6.905655384063721,0.0,-10000.0,4.805668354034424,1.0,947.049072265625,403,544,4.8125739097595215,0.009183266200125217,6,-8930.510561752319,1.0,3088.544099833791,130,0.05,128,4403.843070983887
0.21794494717703364,0,1,4,0.0,128,-0.00677458243444562,4701.589111328125,6.7745819091796875,0.0,-10000.0,4.463426113128662,1.0,958.6414184570312,403,672,4.470200538635254,0.011832838878035545,4,-8975.398162460328,1.0,3003.38054123055,128,0.05,128,4008.069938659668
0.4000000000000001,0,1,5,0.0,128,-0.006608637515455484,6108.728271484375,6.60863733291626,0.0,-10000.0,4.24458646774292,1.0,972.0511474609375,411,815,4.251194953918457,0.014758165925741196,6,-6276.700117111206,1.0,6259.70856553949,143,0.2,128,7393.700660705566
0.3570714214271425,0,1,6,0.0,128,-0.006410359870642424,7268.6495535714275,6.4103593826293945,0.0,-10000.0,4.011813640594482,1.0,987.3838500976562,431,943,4.018223762512207,0.01836724951863289,7,-7377.104882049561,1.0,4868.121864950852,128,0.15,128,5695.29891204834
0.45825756949558394,0,1,7,0.0,128,-0.006181343458592892,7296.399108886719,6.181343078613281,0.0,-10000.0,3.72807240486145,1.0,1005.0262451171875,447,1086,3.7342536449432373,0.024100448936223984,8,-5358.124705886841,1.0,6187.936917733995,143,0.3,128,6187.786918640137
0.4769696007084728,0,1,8,0.0,128,-0.005922349635511637,6949.283621651785,5.922349452972412,0.0,-10000.0,3.4660425186157227,1.0,1020.7775268554688,447,1225,3.4719648361206055,0.03131340816617012,7,-4358.69827041626,1.0,6851.977724758987,139,0.35,128,6590.275718688965
0.47696960070847283,0,1,9,0.0,128,-0.005634278524667025,7494.360900878906,5.634278297424316,0.0,-10000.0,3.164262294769287,1.0,1034.1641845703125,464,1363,3.1698966026306152,0.04229763150215149,8,-4447.247451019287,1.0,6772.10000272893,138,0.35,128,7406.13427734375
0.45825756949558394,0,1,10,0.0,128,-0.005319188814610243,8112.400537109374,5.319188594818115,0.0,-10000.0,2.8401341438293457,1.0,1051.677490234375,467,1501,2.8454532623291016,0.058201830834150314,10,-4869.6919033050535,1.0,6841.150820443502,138,0.3,128,7791.043914794922
0.5,0,1,11,0.0,128,-0.004975419025868177,5414.71484375,4.975418567657471,0.0,-10000.0,2.5289156436920166,1.0,1069.61962890625,489,1640,2.533890962600708,0.08174292743206024,7,-1853.3583408355712,0.8571428571428572,7602.571639912496,139,0.5,128,7985.453796386719
0.48989794855663565,0,1,12,0.0,128,-0.004604714922606945,5879.660725911458,4.604714870452881,0.0,-10000.0,2.1211695671081543,1.0,1087.541259765625,489,1790,2.125774383544922,0.11942692846059799,6,-3329.3756359100344,1.0,7568.380485104849,150,0.4,128,7683.764923095703
0.49749371855331,0,1,13,0.0,128,-0.0042051393538713455,5097.566955566406,4.20513916015625,0.0,-10000.0,1.7423789501190186,1.0,1108.9390869140625,500,1967,1.7465840578079224,0.17632044851779938,8,-1207.706192779541,0.875,7563.367793364047,177,0.55,128,8090.419761657715
0.45825756949558394,0,1,14,0.0,128,-0.0037499736063182354,6581.166573660714,3.7499735355377197,0.0,-10000.0,1.3406974077224731,1.0,1135.4468994140625,500,2120,1.344447374343872,0.27197781205177307,7,1406.5571537017822,1.0,7372.20653937406,153,0.7,128,7777.329864501953
