,train_n_traj,train_return_min,train_return_mean,train_return_std,train_return_max,train_len_min,train_len_mean,train_len_std,train_len_max,train_success_min,train_success_mean,train_success_std,train_success_max,test_n_traj,test_return_min,test_return_mean,test_return_std,test_return_max,test_len_min,test_len_mean,test_len_std,test_len_max,test_success_min,test_success_mean,test_success_std,test_success_max,num_expert_demos
0,50,-10000.0,7043.308131408691,3553.992424281169,8390.42236328125,12,17.12,7.8781723768904675,50,0.0,0.96,0.19595917942265426,1.0,50,-0.1301677857991308,-0.03879389638081193,0.01863027874682991,-0.01822592318058014,9,16.86,6.962786798401915,50,0.0,0.98,0.13999999999999999,1.0,5
1,50,-10000.0,5583.710015106201,5323.736349926179,8591.550514221191,11,21.38,12.365904738433011,50,0.0,0.9,0.3,1.0,50,-0.1302002693992108,-0.04811646140646189,0.02905140959245041,-0.023433151422068477,11,20.36,10.823603836061258,50,0.0,0.94,0.23748684174075838,1.0,15
2,50,-8768.722747802734,7315.802815246582,2546.7055096911936,8391.736213684082,12,16.98,7.622309361341876,50,0.0,0.98,0.13999999999999999,1.0,50,-0.13019836135208607,-0.041137528880499305,0.02636785419910069,-0.0182259117718786,9,17.72,9.861115555554555,50,0.0,0.96,0.19595917942265426,1.0,25
3,50,-10000.0,6158.564259185791,4735.371352234174,8587.29273223877,11,19.5,10.630616162763097,50,0.0,0.92,0.2712931993250107,1.0,50,-0.13017948856577277,-0.04118959678336978,0.02022568180996657,-0.023429172346368432,11,17.78,7.595498666973748,50,0.0,0.98,0.13999999999999999,1.0,35
4,50,-9140.979904174805,6979.189217529297,2719.9081861918385,8495.93392944336,12,18.68,9.078413958396036,50,0.0,0.98,0.13999999999999999,1.0,50,-0.13019774807617068,-0.04473112990148365,0.027920860468332906,-0.01822623354382813,9,19.1,10.48284312579369,50,0.0,0.96,0.19595917942265428,1.0,45
5,50,-10000.0,6205.2408079528805,4845.941319703104,8781.541641235352,10,19.14,10.57357082541182,50,0.0,0.92,0.2712931993250107,1.0,50,-0.13020534324459732,-0.04832478699274361,0.03225851269367369,-0.015622584847733378,8,20.36,11.88572252746967,50,0.0,0.9,0.3,1.0,55
6,50,-9898.23469543457,6648.736826782227,3642.504013961166,8575.966682434082,11,19.3,10.440785411069418,50,0.0,0.96,0.19595917942265428,1.0,50,-0.1301974046509713,-0.04379367264453322,0.02853621962697713,-0.02342930994927883,11,18.66,10.477805113667651,50,0.0,0.92,0.2712931993250107,1.0,65
7,50,-9902.050216674805,6837.3792628479005,3576.189039689807,8688.089378356934,11,18.38,8.990862027636727,50,0.0,0.96,0.19595917942265428,1.0,50,-0.13020082120783627,-0.04129379690624774,0.026059298988001092,-0.01822581607848406,9,17.74,9.601687351710638,50,0.0,0.94,0.23748684174075835,1.0,75
8,50,-9778.892715454102,6635.320915679931,4170.491122880968,8494.53140258789,12,18.34,9.279245658996208,50,0.0,0.94,0.23748684174075838,1.0,50,-0.1301912295166403,-0.041502073132432996,0.024526322024412076,-0.020829723216593266,10,17.86,9.134571692203199,50,0.0,0.96,0.19595917942265428,1.0,85
9,50,-9902.618171691895,5492.834978637696,5551.345973334787,8587.444244384766,11,21.06,11.883450677307497,50,0.0,0.88,0.32496153618543844,1.0,50,-0.13020126917399466,-0.04551233125384897,0.03188956328930918,-0.020825957180932164,10,19.28,11.720136517976231,50,0.0,0.9,0.3,1.0,95
