rollout/return_std,rollout/return_min,rollout/success_mean,bc/batch_num,bc/epoch_num,rollout/success_std,rollout/success_max,bc/samples_so_far,dagger/round_episode_count,dagger/round_num,bc/loss,bc/ent_loss,rollout/success_min,dagger/mean_episode_success,rollout/return_max,dagger/mean_episode_reward,bc/entropy,bc/l2_loss,bc/neglogp,dagger/total_expert_count,bc/l2_norm,batch_size,rollout/return_mean,dagger/total_timesteps,dagger/round_timestep_count,bc/prob_true_act
5557.969905139066,-10000.0,0.15,1,0,0.3570714214271425,1.0,128,8,6,4.075668811798096,-0.006427406333386898,0.0,1.0,7086.454933166504,7484.838806152344,6.427405834197998,0.0,4.082096099853516,586,1000.8798828125,128,-7245.396371078491,958,139,0.017465412616729736
7247.396197780682,-10000.0,0.4,1,0,0.48989794855663565,1.0,128,9,7,3.769598960876465,-0.006200282368808985,0.0,1.0,7174.709442138672,7770.681694878473,6.200282096862793,0.0,3.77579927444458,617,1024.1512451171875,128,-3539.4913608551024,1099,141,0.02314481884241104
5937.328705351107,-10000.0,0.2,1,0,0.4000000000000001,1.0,128,8,8,3.4808802604675293,-0.0059404014609754086,0.0,1.0,6983.602104187012,7558.263122558594,5.940401077270508,0.0,3.486820697784424,638,1042.063232421875,128,-6378.305401611328,1232,133,0.030868902802467346
6826.78258435812,-10000.0,0.35,1,0,0.47696960070847283,1.0,128,9,9,3.172147035598755,-0.005650687962770462,0.0,1.0,6789.98014831543,7503.556966145833,5.6506876945495605,0.0,3.177797794342041,646,1057.2108154296875,128,-4296.262715148926,1383,151,0.04171902313828468
7583.096159874673,-10000.0,0.55,1,0,0.4974937185533099,1.0,128,9,10,2.859990119934082,-0.005331999156624079,0.0,1.0,8792.929016113281,8014.311686197916,5.331998825073242,0.0,2.8653221130371094,664,1069.9033203125,128,-1024.0525646209717,1513,130,0.05720069259405136
7452.856763698298,-10000.0,0.5,1,0,0.5,1.0,128,8,11,2.502105474472046,-0.004986063111573458,0.0,1.0,7496.6157302856445,7306.6982421875,4.986063003540039,0.0,2.507091522216797,670,1086.5035400390625,128,-1981.3978935241698,1661,148,0.08155719190835953
7674.89096521168,-10000.0,0.55,1,0,0.4974937185533099,1.0,128,8,12,2.131563186645508,-0.004611497279256582,0.0,1.0,6978.895401000977,7607.178466796875,4.611496925354004,0.0,2.1361746788024902,670,1103.149658203125,128,-879.4088840484619,1792,131,0.11817238479852676
6635.822987103929,-10000.0,0.75,1,0,0.4330127018922193,1.0,128,9,13,1.696555495262146,-0.004176996182650328,0.0,1.0,8079.425422668457,7922.7087131076405,4.176995754241943,0.0,1.7007324695587158,692,1119.4769287109375,128,1684.3533996582032,1921,129,0.18291014432907104
7641.029129697916,-10000.0,0.65,1,0,0.4769696007084728,1.0,128,9,14,1.241080641746521,-0.0037172790616750717,0.0,1.0,8098.516296386719,7925.280707465278,3.7172789573669434,0.0,1.244797945022583,709,1149.2332763671875,128,814.0134838104248,2052,131,0.28813284635543823
7772.193739243851,-10000.0,0.65,1,0,0.47696960070847283,1.0,128,10,15,0.7582827806472778,-0.003232275601476431,0.0,1.0,8293.079429626465,7799.3421875,3.2322754859924316,0.0,0.7615150809288025,731,1191.9720458984375,128,746.8292369842529,2205,153,0.4676576852798462
7273.630282343087,-10000.0,0.75,1,0,0.4330127018922193,1.0,128,9,16,0.24473445117473602,-0.0027144209016114473,0.0,1.0,8390.995071411133,7841.09130859375,2.714420795440674,0.0,0.2474488765001297,744,1219.063232421875,128,2349.9828594207765,2342,137,0.7823432683944702
7810.49127248459,-10000.0,0.6,1,0,0.48989794855663565,1.0,128,10,17,-0.29721128940582275,-0.0021688980050385,0.0,1.0,8382.835372924805,8112.271582031251,2.168897867202759,0.0,-0.29504239559173584,753,1254.3291015625,128,-76.67144737243652,2480,138,1.345382809638977
7263.0264190182625,-10000.0,0.75,1,0,0.4330127018922193,1.0,128,7,18,-0.7522017955780029,-0.0016036112792789936,0.0,1.0,8388.07926940918,6821.50732421875,1.6036112308502197,0.0,-0.7505981922149658,753,1326.904296875,128,3175.932860946655,2621,141,2.165670394897461
6855.237934222464,-10000.0,0.8,1,0,0.4,1.0,128,10,19,-1.4500892162322998,-0.0010092203738167882,0.0,1.0,8578.020767211914,7991.443701171875,1.0092203617095947,0.0,-1.449079990386963,766,1394.352294921875,128,3475.701694869995,2762,141,4.285032272338867
7302.803787358626,-10000.0,0.75,1,0,0.4330127018922193,1.0,128,7,20,-1.5148526430130005,-0.0003742277913261205,0.0,0.8571428571428571,8580.818229675293,5529.879045758929,0.37422776222229004,0.0,-1.5144784450531006,786,1420.757568359375,128,2907.4066257476807,2900,138,7.902876377105713
6125.389366383051,-10000.0,0.85,1,0,0.3570714214271425,1.0,128,7,21,-2.6352365016937256,0.00024399282119702548,0.0,1.0,8386.194686889648,6505.357979910715,-0.24399280548095703,0.0,-2.6354804039001465,789,1556.43115234375,128,4357.6980815887455,3051,151,14.113866806030273
7043.837603589309,-10000.0,0.8,1,0,0.4,1.0,128,5,22,-2.951864719390869,0.0009316059877164662,0.0,0.8,8384.80768585205,3484.7109375,-0.9316059350967407,0.0,-2.952796220779419,800,1592.4541015625,128,4107.840707015991,3184,133,28.842304229736328
5328.023820509782,-9789.752601623535,0.9,1,0,0.30000000000000004,1.0,128,8,23,-3.914001226425171,0.0015847404720261693,0.0,1.0,8389.462120056152,7460.872100830078,-1.584740400314331,0.0,-3.915585994720459,807,1721.048828125,128,5684.971859359741,3322,138,50.95758056640625
6392.225234140973,-10000.0,0.85,1,0,0.3570714214271425,1.0,128,8,24,-4.319363117218018,0.002258902881294489,0.0,1.0,8589.803359985352,7498.223937988282,-2.2589027881622314,0.0,-4.321621894836426,807,1818.8250732421875,128,4790.60332069397,3460,138,101.3731689453125
